,track_name,weeks,max_rank,min_rank,avg_rank
I Don't Care,I Don't Care,56,99,21,73.89285714285714
Ever Since The World Began,Ever Since The World Began,9,93,75,83.0
Almost Saturday Night,Almost Saturday Night,13,109,54,79.6923076923077
We Got A Thing That's In The Groove,We Got A Thing That's In The Groove,8,105,65,79.125
I Got To Handle It,I Got To Handle It,4,87,74,78.25
Route 66,Route 66,8,110,78,94.25
Angel On My Shoulder,Angel On My Shoulder,14,122,22,59.785714285714285
Cast Your Fate To The Wind,Cast Your Fate To The Wind,53,134,10,67.67924528301887
Too Many Fish In The Sea & Three Little Fishes,Too Many Fish In The Sea & Three Little Fishes,6,76,24,42.666666666666664
Don't Play That Song,Don't Play That Song,22,95,11,32.95454545454545
Last Train To Clarksville,Last Train To Clarksville,16,101,1,22.75
Rhumba Girl,Rhumba Girl,9,94,47,63.0
She's A Lady,She's A Lady,21,132,2,44.142857142857146
In The Time Of Our Lives,In The Time Of Our Lives,6,118,96,104.16666666666667
Easy Rider,Easy Rider,7,110,66,77.14285714285714
"Nothin  But The Cavi Hit (From ""Rhyme","Nothin  But The Cavi Hit (From ""Rhyme",0,,,
24/7,24/7,35,95,10,52.714285714285715
Like This,Like This,40,98,30,62.025
Where Did The Good Times Go,Where Did The Good Times Go,4,124,93,109.0
Glory Of Love,Glory Of Love,42,107,1,53.214285714285715
Stickwitu,Stickwitu,26,85,5,21.923076923076923
Make Me Belong To You,Make Me Belong To You,8,80,28,43.875
I'll Make Him Love Me,I'll Make Him Love Me,6,110,72,82.16666666666667
Keep Your Mind Wide Open,Keep Your Mind Wide Open,1,90,90,90.0
Spreadin' Honey,Spreadin' Honey,10,95,73,82.5
The Ways Of The Wind,The Ways Of The Wind,11,100,54,70.54545454545455
Set Adrift On Memory Bliss,Set Adrift On Memory Bliss,0,,,
Outlaw Man,Outlaw Man,12,99,59,77.91666666666667
Spanish Eddie,Spanish Eddie,11,100,40,58.63636363636363
The Lucky One,The Lucky One,24,93,20,57.125
Voices That Care,Voices That Care,16,82,11,35.5625
Probably Wouldn't Be This Way,Probably Wouldn't Be This Way,14,96,54,71.35714285714286
A House Is Not A Home,A House Is Not A Home,14,96,70,83.0
Who Can I Turn To,Who Can I Turn To,16,88,33,53.3125
Someday Man,Someday Man,4,133,81,102.5
Real Man,Real Man,3,90,83,85.66666666666667
Who Gets The Guy,Who Gets The Guy,5,78,57,68.2
And I Love Him,And I Love Him,9,88,54,65.66666666666667
"To Sir, With Love","To Sir, With Love",0,,,
Vanilla Olay,Vanilla Olay,0,,,
All Nite,All Nite,7,95,71,79.42857142857143
Dominique,Dominique,14,110,1,19.0
The Heart And Soul,The Heart And Soul,0,,,
Southbound Train,Southbound Train,2,99,99,99.0
Immigration Man,Immigration Man,9,90,36,50.77777777777778
Stranger,Stranger,22,106,48,77.0909090909091
Can t Let Go,Can t Let Go,0,,,
Takin' All I Can Get,Takin' All I Can Get,2,120,100,110.0
Girls Can't Do What The Guys Do,Girls Can't Do What The Guys Do,8,91,33,57.5
Secretary,Secretary,8,84,62,74.375
Where Is The Love,Where Is The Love,14,96,5,27.714285714285715
Just You,Just You,9,72,20,41.44444444444444
Didn't I,Didn't I,39,122,8,47.0
It's Wonderful,It's Wonderful,7,68,20,35.285714285714285
Just Let It Come,Just Let It Come,6,121,69,85.0
Nobody But You Babe,Nobody But You Babe,10,77,40,50.8
Too Young To Go Steady,Too Young To Go Steady,21,115,31,64.42857142857143
Sausalito Summernight,Sausalito Summernight,18,94,25,53.72222222222222
When A Woman Loves A Man,When A Woman Loves A Man,6,107,73,80.5
Lucky,Lucky,49,100,23,59.183673469387756
Ain't That Peculiar,Ain't That Peculiar,22,129,8,48.95454545454545
Philly Dog,Philly Dog,6,109,89,97.0
Superman,Superman,113,114,14,49.85840707964602
He's Gonna Step On You Again,He's Gonna Step On You Again,7,98,70,83.85714285714286
For What It's Worth,For What It's Worth,17,128,66,99.05882352941177
I Was Made To Love Her,I Was Made To Love Her,21,101,2,38.857142857142854
I'll Always Have Faith In You,I'll Always Have Faith In You,5,116,85,93.4
Now That You've Gone,Now That You've Gone,6,124,80,109.16666666666667
I'm Easy,I'm Easy,20,107,17,43.4
If Ever I See You Again,If Ever I See You Again,14,109,24,56.42857142857143
Thread The Needle,Thread The Needle,6,134,98,114.33333333333333
He Don't Love You,He Don't Love You,14,55,1,22.357142857142858
I'll Take You Where The Music's Playing,I'll Take You Where The Music's Playing,2,116,87,101.5
Carry Me Back,Carry Me Back,8,70,26,40.125
Next Plane To London,Next Plane To London,17,116,17,59.76470588235294
Baby Toys,Baby Toys,5,131,76,89.8
Attack,Attack,9,86,18,37.666666666666664
Sally Was A Good Old Girl,Sally Was A Good Old Girl,6,119,99,103.33333333333333
Overture From Tommy,Overture From Tommy,0,,,
Baby What Do You Want Me To Do,Baby What Do You Want Me To Do,6,86,74,78.0
Whispers,Whispers,35,127,11,65.37142857142857
Be My Baby,Be My Baby,34,131,2,50.38235294117647
Not The Lovin' Kind,Not The Lovin' Kind,9,89,25,45.55555555555556
I'm A Fool,I'm A Fool,13,125,17,49.53846153846154
Goin' Away,Goin' Away,5,132,79,93.6
I Send A Message,I Send A Message,7,92,77,83.71428571428571
I Wanna Learn A Love Song,I Wanna Learn A Love Song,9,95,44,67.55555555555556
Seven Years,Seven Years,5,129,84,97.0
The Right Kind Of Love,The Right Kind Of Love,15,97,16,57.53333333333333
When She Dances,When She Dances,9,99,49,67.22222222222223
Whole Lotta Love,Whole Lotta Love,28,104,4,45.92857142857143
Don t You Come Cryin,Don t You Come Cryin,0,,,
The Rockford Files,The Rockford Files,16,93,10,37.8125
Morning Girl,Morning Girl,14,104,17,55.857142857142854
The Belle Of St Mark,The Belle Of St Mark,0,,,
When Things Go Wrong,When Things Go Wrong,3,97,87,90.33333333333333
Everybody Got To Believe In Somebody,Everybody Got To Believe In Somebody,3,81,73,78.0
Ready For Your Love,Ready For Your Love,5,79,42,61.4
Remember Baby,Remember Baby,2,107,91,99.0
Our Anniversary,Our Anniversary,8,77,59,68.875
"Boo, Boo, Don't 'Cha Be Blue","Boo, Boo, Don't 'Cha Be Blue",0,,,
Stop!,Stop!,2,99,97,98.0
Heighdy-Ho Princess,Heighdy-Ho Princess,1,94,94,94.0
If My Friends Could See Me Now,If My Friends Could See Me Now,8,97,54,76.0
Stranger In My Home Town,Stranger In My Home Town,0,,,
We're In This Love Together,We're In This Love Together,24,95,15,46.375
You And Me,You And Me,33,102,9,58.515151515151516
Break 'Em Off,Break 'Em Off,1,72,72,72.0
Mr. Jones,Mr. Jones,3,125,92,112.66666666666667
Temptation,Temptation,53,135,2,41.24528301886792
On The Hotline,On The Hotline,19,98,12,50.1578947368421
What I've Done,What I've Done,23,49,7,25.0
1st Time,1st Time,6,97,82,90.83333333333333
Jimmy Loves Maryann,Jimmy Loves Maryann,4,95,82,89.25
Lipstick,Lipstick,16,99,51,70.3125
Dancer,Dancer,6,88,48,67.16666666666667
Lemon Tree,Lemon Tree,18,116,20,57.72222222222222
If I Had A Hammer,If I Had A Hammer,26,90,3,29.23076923076923
Stewball,Stewball,8,125,35,58.375
Blue Bayou,Blue Bayou,34,116,3,37.1764705882353
Raspberry Beret,Raspberry Beret,18,97,2,25.5
Kiss,Kiss,32,90,1,36.03125
Touch And Gone,Touch And Gone,3,86,73,79.66666666666667
"Let Me Go, Love","Let Me Go, Love",0,,,
Shakedown Cruise,Shakedown Cruise,14,97,31,51.5
Where Is My Mind,Where Is My Mind,6,92,73,83.66666666666667
Colors,Colors,7,97,70,81.0
When Something Is Wrong With My Baby,When Something Is Wrong With My Baby,17,110,42,76.0
I Can't Let Go,I Can't Let Go,22,95,31,60.13636363636363
Hurt So Bad,Hurt So Bad,14,99,8,27.714285714285715
How Do I Make You,How Do I Make You,16,99,10,31.75
Back In The U.S.A.,Back In The U.S.A.,23,102,16,51.21739130434783
Poor Poor Pitiful Me,Poor Poor Pitiful Me,9,98,31,53.55555555555556
Tumbling Dice,Tumbling Dice,10,50,7,18.8
Someone To Lay Down Beside Me,Someone To Lay Down Beside Me,0,,,
Nothing From Nothing,Nothing From Nothing,18,72,1,25.38888888888889
Dilemma,Dilemma,29,54,1,12.0
Right Next To Me,Right Next To Me,13,97,60,73.53846153846153
Shinin' On,Shinin' On,11,63,11,31.09090909090909
Only The Lonely,Only The Lonely,53,123,2,45.283018867924525
"Someday, Someway","Someday, Someway",0,,,
Let Your Yeah Be Yeah,Let Your Yeah Be Yeah,8,94,57,73.375
What A Shame,What A Shame,7,124,82,92.71428571428571
Suzanne,Suzanne,23,125,17,60.78260869565217
Set The Night To Music,Set The Night To Music,20,73,6,28.8
You Are My Heaven,You Are My Heaven,12,106,47,75.33333333333333
Without You,Without You,168,120,1,45.482142857142854
Made To Love You,Made To Love You,5,99,79,87.6
Please Don't Leave,Please Don't Leave,15,100,24,52.266666666666666
Hero,Hero,110,106,1,29.845454545454544
Innocent Eyes,Innocent Eyes,7,99,84,89.85714285714286
Let Me Be Good To You,Let Me Be Good To You,6,96,62,74.33333333333333
If We Only Have Love,If We Only Have Love,3,90,84,86.66666666666667
Once You Hit The Road,Once You Hit The Road,5,93,79,86.8
You Can Have Him,You Can Have Him,13,121,75,96.6923076923077
Miles Away,Miles Away,28,96,12,47.285714285714285
Ecstasy,Ecstasy,21,96,31,56.095238095238095
That's When It Hurts,That's When It Hurts,9,127,63,83.33333333333333
I Could Have Danced All Night,I Could Have Danced All Night,40,112,35,68.2
Milord,Milord,22,118,45,84.27272727272727
Somebody  Needs You,Somebody  Needs You,9,132,55,75.22222222222223
Take This Hurt Off Me,Take This Hurt Off Me,2,97,97,97.0
Baby The Rain Must Fall,Baby The Rain Must Fall,15,135,12,46.06666666666667
Did You Ever,Did You Ever,6,100,74,86.5
Goodbye Cruel World,Goodbye Cruel World,17,88,3,25.88235294117647
Her Royal Majesty,Her Royal Majesty,11,66,6,27.454545454545453
Conscience,Conscience,10,81,11,31.3
Mary's Little Lamb,Mary's Little Lamb,8,90,39,60.0
Hail To The Conquering Hero,Hail To The Conquering Hero,4,118,97,107.25
Pin A Medal On Joey,Pin A Medal On Joey,6,90,54,70.33333333333333
You Take My Heart Away,You Take My Heart Away,9,96,52,72.55555555555556
Framed,Framed,8,98,41,61.0
Jump Back,Jump Back,17,114,49,71.47058823529412
Caught In A Dream,Caught In A Dream,3,96,94,95.0
Run Joey Run,Run Joey Run,14,78,4,33.07142857142857
Paper Mache,Paper Mache,8,124,43,63.625
The Beginning Of Loneliness,The Beginning Of Loneliness,4,125,79,96.5
Love Gonna Pack Up,Love Gonna Pack Up,10,96,64,79.0
Knuck If You Buck,Knuck If You Buck,20,100,76,87.15
Cry Cry Cry,Cry Cry Cry,9,105,71,89.33333333333333
Plastic Man,Plastic Man,4,103,74,81.75
Let It Be Me,Let It Be Me,66,134,5,57.333333333333336
To Love Somebody,To Love Somebody,37,105,11,44.91891891891892
Unchained Melody,Unchained Melody,104,114,2,30.596153846153847
Charm The Snake,Charm The Snake,5,99,68,79.4
Apache,Apache,31,104,2,48.32258064516129
Anna,Anna,32,113,6,46.5
May My Heart Be Cast Into Stone,May My Heart Be Cast Into Stone,2,117,96,106.5
He's A Bad Boy,He's A Bad Boy,8,126,94,107.125
Opportunity,Opportunity,13,135,64,86.6923076923077
I'm Into Somethin' Good,I'm Into Somethin' Good,1,135,135,135.0
"My One And Only, Jimmy Boy","My One And Only, Jimmy Boy",0,,,
Fulton St.,Fulton St.,2,100,90,95.0
So Long,So Long,25,132,6,46.64
Wake Up,Wake Up,42,120,29,70.07142857142857
I Live For Your Love,I Live For Your Love,22,90,13,43.09090909090909
Pink Cadillac,Pink Cadillac,17,83,5,31.470588235294116
Blame It On The Radio,Blame It On The Radio,6,98,88,90.16666666666667
Sunday,Sunday,28,132,1,25.535714285714285
Not On The Outside,Not On The Outside,7,85,57,68.57142857142857
Look At Me,Look At Me,21,134,39,92.57142857142857
Rockin  At Midnight,Rockin  At Midnight,0,,,
I Wanna Love You,I Wanna Love You,52,122,1,32.51923076923077
One Woman,One Woman,28,128,22,63.07142857142857
Ain t Nobody Like You,Ain t Nobody Like You,0,,,
Nobody,Nobody,68,116,3,40.220588235294116
I Cheat The Hangman,I Cheat The Hangman,4,86,60,71.75
Wheels Of Fortune,Wheels Of Fortune,6,92,13,40.0
Echoes Of Love,Echoes Of Love,7,99,66,80.85714285714286
"Wynken, Blynken And Nod","Wynken, Blynken And Nod",0,,,
Nasty Girl,Nasty Girl,39,107,44,84.15384615384616
More Than Physical,More Than Physical,5,98,73,85.6
Silence Is Broken,Silence Is Broken,10,99,62,75.0
Sisters Are Doing It For Themselves,Sisters Are Doing It For Themselves,15,82,18,42.6
Freeway Of Love,Freeway Of Love,19,96,3,29.36842105263158
My Song,My Song,7,77,31,50.42857142857143
Given Up,Given Up,1,99,99,99.0
Leave Out All The Rest,Leave Out All The Rest,2,99,94,96.5
Shadow Of The Day,Shadow Of The Day,22,89,15,31.681818181818183
I'm Throwed,I'm Throwed,4,94,87,90.0
Stag-O-Lee,Stag-O-Lee,7,104,22,44.57142857142857
Born Again,Born Again,5,106,92,98.0
How Can You Mistreat The One You Love,How Can You Mistreat The One You Love,2,119,96,107.5
Lovey Dovey,Lovey Dovey,26,131,25,72.26923076923077
Knock On Wood,Knock On Wood,46,97,1,45.78260869565217
Give Everybody Some,Give Everybody Some,6,112,91,98.66666666666667
Somebody's Sleeping In My Bed,Somebody's Sleeping In My Bed,3,106,95,98.66666666666667
Pick Up The Pieces,Pick Up The Pieces,23,82,1,37.869565217391305
Don't Rock The Boat,Don't Rock The Boat,3,122,98,111.0
What A Fool I've Been,What A Fool I've Been,4,120,93,105.0
Pop-Eye Stroll,Pop-Eye Stroll,4,120,94,104.25
A Scottish Soldier,A Scottish Soldier,6,94,69,83.66666666666667
We're An American Band,We're An American Band,17,83,1,25.11764705882353
Walk Like A Man,Walk Like A Man,35,95,1,39.51428571428571
If You've Got The Time,If You've Got The Time,2,88,88,88.0
Rock And Roll Is Dead,Rock And Roll Is Dead,0,,,
Can't Get You Off My Mind,Can't Get You Off My Mind,20,98,62,77.75
American Woman,American Woman,21,88,49,65.0
Beyond The Invisible,Beyond The Invisible,3,98,81,88.33333333333333
Return To Innocence,Return To Innocence,26,87,4,26.076923076923077
You're The One,You're The One,72,110,4,51.541666666666664
House At Pooh Corner,House At Pooh Corner,13,89,53,63.53846153846154
I'm A Woman,I'm A Woman,23,88,12,50.82608695652174
Ava Adore,Ava Adore,20,98,42,71.3
It's Gonna Be Alright,It's Gonna Be Alright,15,99,23,55.4
Stacy's Mom,Stacy's Mom,17,97,21,51.23529411764706
"Turn Around, Look At Me","Turn Around, Look At Me",0,,,
Locomotive Breath,Locomotive Breath,8,88,62,71.25
You're My Better Half,You're My Better Half,20,96,33,57.65
Tonight I Wanna Cry,Tonight I Wanna Cry,20,96,36,57.3
The Look,The Look,19,93,1,28.42105263157895
Pushin  Weight,Pushin  Weight,0,,,
Up On Cripple Creek,Up On Cripple Creek,16,135,25,51.8125
Fall On Me,Fall On Me,3,97,94,95.66666666666667
A Love Song,A Love Song,10,94,47,66.8
Outside Looking In,Outside Looking In,2,86,77,81.5
From Yesterday,From Yesterday,8,99,76,87.5
Ophelia,Ophelia,16,100,62,85.5625
Life Is A Carnival,Life Is A Carnival,6,80,72,74.66666666666667
Inside My Love,Inside My Love,4,88,76,80.5
Once In A Lifetime,Once In A Lifetime,19,103,31,67.21052631578948
You're The Reason I'm Living,You're The Reason I'm Living,14,87,3,21.5
Dance With Me,Dance With Me,124,97,6,47.33870967741935
With Pen In Hand,With Pen In Hand,44,130,35,83.70454545454545
Girl On A Swing,Girl On A Swing,9,85,28,50.111111111111114
I m Already Taken,I m Already Taken,0,,,
Keep On Singing,Keep On Singing,21,86,15,47.38095238095238
Crazy Love,Crazy Love,72,100,17,57.138888888888886
You Can Bring Me All Your Heartaches,You Can Bring Me All Your Heartaches,8,88,55,67.5
Atomic,Atomic,9,92,39,54.111111111111114
Looking For A Stranger,Looking For A Stranger,10,96,39,56.3
Promises In The Dark,Promises In The Dark,11,97,38,57.18181818181818
Fire And Ice,Fire And Ice,0,,,
Workin' For A Livin',Workin' For A Livin',10,106,41,62.0
Trains And Boats And Planes,Trains And Boats And Planes,3,128,92,112.33333333333333
Rockin' Chair,Rockin' Chair,14,83,9,36.57142857142857
Callin  Me,Callin  Me,0,,,
Do You Believe In Us,Do You Believe In Us,30,81,13,32.63333333333333
Tell Me The Truth,Tell Me The Truth,6,98,73,85.5
A Fool In Love,A Fool In Love,14,101,27,51.214285714285715
Hushabye,Hushabye,25,132,20,58.8
Walkin' In The Rain,Walkin' In The Rain,16,109,19,51.9375
Couple Days Off,Couple Days Off,13,96,11,35.69230769230769
Unskinny Bop,Unskinny Bop,19,100,3,29.789473684210527
Beautiful In My Eyes,Beautiful In My Eyes,21,79,19,35.095238095238095
Vibeology,Vibeology,14,92,16,43.0
Blowing Kisses In The Wind,Blowing Kisses In The Wind,20,78,6,27.9
Let Love Rule,Let Love Rule,4,99,89,92.0
Cold Hearted,Cold Hearted,21,99,1,28.047619047619047
Don't Pull Your Love/Then You Can Tell Me Goodbye,Don't Pull Your Love/Then You Can Tell Me Goodbye,0,,,
Who Will You Run To,Who Will You Run To,22,97,7,48.90909090909091
Alone,Alone,92,100,1,55.53260869565217
There's The Girl,There's The Girl,19,97,12,41.578947368421055
Buy For Me The Rain,Buy For Me The Rain,8,135,45,66.375
Some Of Shelly's Blues,Some Of Shelly's Blues,14,134,64,95.57142857142857
Fire In The Sky,Fire In The Sky,4,98,76,84.0
Make A Little Magic,Make A Little Magic,16,100,25,48.1875
If Looks Could Kill,If Looks Could Kill,18,97,48,69.0
These Dreams,These Dreams,20,97,1,33.05
Nothin' At All,Nothin' At All,16,94,10,37.0
Try A Little Kindness,Try A Little Kindness,11,89,23,42.36363636363637
Europa And The Pirate Twins,Europa And The Pirate Twins,5,97,67,78.2
Maria,Maria,61,111,44,84.75409836065573
Lost,Lost,22,121,61,84.4090909090909
One More Town,One More Town,9,126,97,110.88888888888889
Ally Ally Oxen Free,Ally Ally Oxen Free,8,122,61,75.875
If We Try,If We Try,7,87,58,67.57142857142857
Treat My Baby Good,Treat My Baby Good,9,94,43,59.55555555555556
Be Mad Little Girl,Be Mad Little Girl,7,90,64,71.57142857142857
Here We Go Again!,Here We Go Again!,10,98,25,50.8
A Little In Love,A Little In Love,22,93,17,43.86363636363637
Give A Little Bit More,Give A Little Bit More,11,98,41,61.81818181818182
Our Lips Are Sealed,Our Lips Are Sealed,33,105,20,54.06060606060606
"That Sunday, That Summer","That Sunday, That Summer",0,,,
You Are My Lady,You Are My Lady,20,85,12,39.9
Sophisticated Lady,Sophisticated Lady,16,97,25,47.1875
Mr. Melody,Mr. Melody,12,98,49,64.83333333333333
Party Lights,Party Lights,19,95,5,44.63157894736842
Someone That I Used To Love,Someone That I Used To Love,21,99,21,50.61904761904762
Roll In My Sweet Baby's Arms,Roll In My Sweet Baby's Arms,0,,,
Tight Rope,Tight Rope,12,82,11,34.166666666666664
Back To The Island,Back To The Island,5,73,53,60.6
Lady Blue,Lady Blue,19,95,14,43.89473684210526
Plain Jane,Plain Jane,22,134,38,82.31818181818181
You Make Me Crazy,You Make Me Crazy,8,98,62,72.625
You're No Good,You're No Good,34,120,1,62.470588235294116
It Doesn't Matter Anymore,It Doesn't Matter Anymore,14,82,13,38.642857142857146
When Will I Be Loved,When Will I Be Loved,13,96,8,38.38461538461539
Face Down,Face Down,43,100,24,61.325581395348834
This Is Why I'm Hot,This Is Why I'm Hot,23,87,1,24.91304347826087
Let It Ride,Let It Ride,15,77,23,41.46666666666667
I'm The One Who Loves You,I'm The One Who Loves You,13,80,32,61.23076923076923
I Do What I Do...,I Do What I Do...,0,,,
She's Gone,She's Gone,54,102,7,57.888888888888886
Really Doe,Really Doe,9,100,54,81.77777777777777
Surrender To Me,Surrender To Me,23,108,6,53.82608695652174
I Can't Wait Until I See My Baby,I Can't Wait Until I See My Baby,6,132,93,111.0
Has Anyone Ever Written Anything For You,Has Anyone Ever Written Anything For You,6,81,60,69.16666666666667
Legend In Your Own Time,Legend In Your Own Time,10,90,50,66.4
Haven't Got Time For The Pain,Haven't Got Time For The Pain,12,80,14,38.666666666666664
You Belong To Me,You Belong To Me,82,116,1,28.390243902439025
Thinkin' Bout It,Thinkin' Bout It,0,,,
Taking Everything,Taking Everything,12,96,11,37.5
Coffee Shop,Coffee Shop,1,78,78,78.0
He Said She Said,He Said She Said,8,97,58,81.25
Murphy's Law,Murphy's Law,13,103,39,67.07692307692308
Coming Down From Love,Coming Down From Love,10,89,42,60.8
Twistin' Bells,Twistin' Bells,4,109,49,74.25
I'll Remember,I'll Remember,29,93,2,22.96551724137931
Never Find Someone Like You,Never Find Someone Like You,16,97,53,69.5
Wipe Me Down,Wipe Me Down,18,100,38,62.333333333333336
This Town,This Town,25,78,20,45.92
Hold On My Heart,Hold On My Heart,20,79,12,31.45
No Son Of Mine,No Son Of Mine,20,59,12,27.25
Jesus He Knows Me,Jesus He Knows Me,20,89,23,48.35
Shoes,Shoes,10,113,67,86.4
Don't It Make You Want To Go Home,Don't It Make You Want To Go Home,19,88,41,58.0
Laura,Laura,30,135,5,61.53333333333333
Straighten Up Your Heart,Straighten Up Your Heart,8,112,43,65.0
People Sure Act Funny,People Sure Act Funny,6,126,58,72.33333333333333
Sudden Stop,Sudden Stop,5,97,63,70.0
Love Me Tender,Love Me Tender,46,99,1,37.47826086956522
Snatching It Back,Snatching It Back,10,90,31,52.9
Best Thing That Ever Happened To Me,Best Thing That Ever Happened To Me,23,99,3,42.04347826086956
Tighten Up,Tighten Up,19,97,1,34.421052631578945
Do The Choo Choo,Do The Choo Choo,7,85,44,53.0
My Balloon's Going Up,My Balloon's Going Up,3,107,96,103.33333333333333
A World Without Music,A World Without Music,2,101,92,96.5
Don't Let The Music Slip Away,Don't Let The Music Slip Away,2,108,100,104.0
Wrap It Up,Wrap It Up,12,100,50,70.66666666666667
Night Time Is The Right Time,Night Time Is The Right Time,3,124,94,109.33333333333333
The Proud One,The Proud One,17,87,22,53.23529411764706
I Make A Fool Of Myself,I Make A Fool Of Myself,8,93,18,41.5
To Give,To Give,9,121,29,53.333333333333336
The Girl I'll Never Know,The Girl I'll Never Know,7,84,52,64.42857142857143
Our Day Will Come,Our Day Will Come,26,124,1,30.46153846153846
Fallen Angel,Fallen Angel,33,114,12,61.54545454545455
Handle With Care,Handle With Care,14,100,45,63.5
I Beg Your Pardon,I Beg Your Pardon,18,87,15,45.333333333333336
Impacto,Impacto,7,96,56,79.28571428571429
"Ruby, Don't Take Your Love To Town","Ruby, Don't Take Your Love To Town",0,,,
Misery Business,Misery Business,30,99,26,55.1
People Everyday,People Everyday,23,82,8,27.869565217391305
That's Where I Went Wrong,That's Where I Went Wrong,13,100,29,49.46153846153846
Where Evil Grows,Where Evil Grows,12,77,45,57.416666666666664
I Was Wondering,I Was Wondering,2,107,100,103.5
Don't You Know How Much I Love You,Don't You Know How Much I Love You,7,98,58,73.85714285714286
Stranger In My House,Stranger In My House,37,94,10,42.83783783783784
Go Away,Go Away,6,97,85,92.0
Wack Wack,Wack Wack,9,115,40,65.11111111111111
I Still Love You,I Still Love You,37,123,14,57.891891891891895
Can t Get You Out Of My Mind,Can t Get You Out Of My Mind,0,,,
Died In Your Arms,Died In Your Arms,26,99,1,47.46153846153846
Rockin' Roll Baby,Rockin' Roll Baby,18,80,14,36.888888888888886
You Are Beautiful,You Are Beautiful,13,94,60,78.61538461538461
Star On A TV Show,Star On A TV Show,7,89,47,64.71428571428571
Funky Weekend,Funky Weekend,9,96,76,86.66666666666667
You'll Never Get To Heaven,You'll Never Get To Heaven,20,101,23,51.9
Watching Over You,Watching Over You,8,100,80,87.0
Sweet Rachel,Sweet Rachel,6,94,80,85.0
Change With The Times,Change With The Times,8,86,46,59.125
Party,Party,31,95,40,63.38709677419355
Night Walk,Night Walk,8,106,96,101.875
Cafe Amore,Cafe Amore,6,106,77,89.0
Morning Dance,Morning Dance,16,103,24,49.375
Catching The Sun,Catching The Sun,9,109,68,89.88888888888889
Maggie,Maggie,22,118,45,77.5909090909091
My Special Angel,My Special Angel,23,96,7,34.130434782608695
In The Middle Of A Heartache,In The Middle Of A Heartache,11,118,27,61.27272727272727
So This Is Love,So This Is Love,14,110,21,56.642857142857146
Oh! What It Seemed To Be,Oh! What It Seemed To Be,0,,,
Make Believe Wedding,Make Believe Wedding,3,112,98,103.33333333333333
Georgie Porgie,Georgie Porgie,5,92,68,80.0
Percolator,Percolator,18,109,10,59.111111111111114
Wham!,Wham!,0,,,
Bumble Boogie,Bumble Boogie,14,117,8,57.714285714285715
I'll Just Have A Cup Of Coffee,I'll Just Have A Cup Of Coffee,6,119,84,104.83333333333333
Look What They've Done To My Song Ma,Look What They've Done To My Song Ma,13,105,14,37.15384615384615
The Bird's The Word,The Bird's The Word,9,104,52,74.66666666666667
The Ballad Of The Green Berets,The Ballad Of The Green Berets,0,,,
Stop And Think It Over,Stop And Think It Over,9,120,43,91.66666666666667
The Black Eyed Boys,The Black Eyed Boys,9,92,41,65.0
Walk Right In,Walk Right In,31,118,1,53.774193548387096
Double Shot,Double Shot,15,113,17,54.666666666666664
Good Golly Miss Molly,Good Golly Miss Molly,8,102,43,61.625
Oh How Happy,Oh How Happy,17,130,12,55.529411764705884
Somewhere,Somewhere,44,132,19,64.61363636363636
The Bounce,The Bounce,14,136,40,74.5
Pickin' Wild Mountain Berries,Pickin' Wild Mountain Berries,13,120,27,61.38461538461539
As If I Didn't Know,As If I Didn't Know,10,78,10,31.8
C'mon And Swim,C'mon And Swim,3,108,100,103.33333333333333
"Corinna, Corinna","Corinna, Corinna",0,,,
Happy-Go-Lucky-Me,Happy-Go-Lucky-Me,16,112,10,48.8125
Let's Stomp,Let's Stomp,9,122,57,84.55555555555556
Say Wonderful Things,Say Wonderful Things,14,108,81,96.14285714285714
The Wah Watusi,The Wah Watusi,14,97,2,24.142857142857142
There's No Other,There's No Other,12,101,20,47.0
Do The Bird,Do The Bird,12,111,10,35.083333333333336
Hurt,Hurt,60,108,4,51.0
Johnny Get Angry,Johnny Get Angry,14,95,7,32.285714285714285
Balboa Blue,Balboa Blue,10,98,48,68.9
Surfer's Stomp,Surfer's Stomp,9,95,31,53.77777777777778
Please Love Me Forever,Please Love Me Forever,31,102,6,37.25806451612903
Barbara-Ann,Barbara-Ann,2,103,59,81.0
Farmer John,Farmer John,12,123,19,57.5
Love You So,Love You So,19,85,7,31.63157894736842
Thou Shalt Not Steal,Thou Shalt Not Steal,24,129,13,65.625
I'm Living In Two Worlds,I'm Living In Two Worlds,6,118,99,108.0
Mama Used To Say,Mama Used To Say,14,106,30,62.714285714285715
Nice To Be With You,Nice To Be With You,22,88,4,40.68181818181818
Groovy Situation,Groovy Situation,17,121,12,47.11764705882353
The Twist,The Twist,76,114,1,36.18421052631579
Always Something There To Remind Me,Always Something There To Remind Me,53,127,8,56.886792452830186
Lover's Holiday,Lover's Holiday,15,114,31,59.266666666666666
When I Fall In Love,When I Fall In Love,49,99,7,51.87755102040816
You Were Made For Me,You Were Made For Me,22,100,21,64.0
"Bend Me, Shape Me","Bend Me, Shape Me",0,,,
98.6,98.6,15,125,7,39.13333333333333
The Writing On The Wall,The Writing On The Wall,11,77,5,24.0
Twine Time,Twine Time,11,100,14,43.63636363636363
Torture,Torture,27,119,17,47.148148148148145
Arizona,Arizona,17,117,10,39.411764705882355
Up In A Puff Of Smoke,Up In A Puff Of Smoke,14,110,16,51.57142857142857
You Mean The World To Me,You Mean The World To Me,40,118,7,36.95
Slip Away,Slip Away,32,104,6,55.5
